Year,Month,anom,i_nino,i_nina,el_nino,la_nina
1973,3,0.58,1,0,1,1
1973,4,-0.07,0,0,0,1
1973,5,-0.56,0,1,0,1
1973,6,-0.86,0,1,0,1
1973,7,-1.14,0,1,0,1
1973,8,-1.21,0,1,0,1
1973,9,-1.4,0,1,0,1
1973,10,-1.58,0,1,0,1
1973,11,-2.07,0,1,0,1
1973,12,-2.18,0,1,0,1
1974,1,-2.02,0,1,0,1
1974,2,-1.5,0,1,0,1
1974,3,-1.44,0,1,0,1
1974,4,-1,0,1,0,1
1974,5,-0.79,0,1,0,1
1974,6,-0.7,0,1,0,1
1974,7,-0.65,0,1,0,1
1974,8,-0.32,0,0,0,0
1974,9,-0.35,0,0,0,0
1974,10,-0.75,0,1,0,0
1974,11,-0.96,0,1,0,0
1974,12,-0.86,0,1,0,0
1975,1,-0.37,0,0,0,0
1975,2,-0.33,0,0,0,0
1975,3,-0.59,0,1,0,1
1975,4,-0.59,0,1,0,1
1975,5,-1,0,1,0,1
1975,6,-1.25,0,1,0,1
1975,7,-1.24,0,1,0,1
1975,8,-1.16,0,1,0,1
1975,9,-1.44,0,1,0,1
1975,10,-1.47,0,1,0,1
1975,11,-1.46,0,1,0,1
1975,12,-1.64,0,1,0,1
1976,1,-1.8,0,1,0,1
1976,2,-1.05,0,1,0,1
1976,3,-0.68,0,1,0,1
1976,4,-0.42,0,1,0,1
1976,5,-0.49,0,1,0,1
1976,6,0,0,0,0,0
1976,7,0.15,0,0,0,0
1976,8,0.31,0,0,0,0
1976,9,0.57,1,0,1,0
1976,10,0.86,1,0,1,0
1976,11,0.88,1,0,1,0
1976,12,0.64,1,0,1,0
1977,1,0.84,1,0,1,0
1977,2,0.55,1,0,1,0
1977,3,0.4,1,0,1,0
1977,4,-0.25,0,0,0,0
1977,5,-0.03,0,0,0,0
1977,6,0.36,0,0,0,0
1977,7,0.45,1,0,0,0
1977,8,0.25,0,0,0,0
1977,9,0.44,1,0,1,0
1977,10,0.89,1,0,1,0
1977,11,1.03,1,0,1,0
1977,12,1.09,1,0,1,0
1978,1,0.72,1,0,1,0
1978,2,0.51,1,0,1,0
1978,3,0.06,0,0,0,0
1978,4,-0.37,0,0,0,0
1978,5,-0.49,0,1,0,0
1978,6,-0.45,0,1,0,0
1978,7,-0.48,0,1,0,0
1978,8,-0.62,0,1,0,0
1978,9,-0.6,0,1,0,0
1978,10,-0.34,0,0,0,0
1978,11,-0.15,0,0,0,0
1978,12,0.07,0,0,0,0
1979,1,0.05,0,0,0,0
1979,2,0.09,0,0,0,0
1979,3,0.13,0,0,0,0
1979,4,0.17,0,0,0,0
1979,5,-0.09,0,0,0,0
1979,6,0.04,0,0,0,0
1979,7,-0.2,0,0,0,0
1979,8,0.21,0,0,0,0
1979,9,0.48,1,0,0,0
1979,10,0.32,0,0,0,0
1979,11,0.35,0,0,0,0
1979,12,0.69,1,0,0,0
1980,1,0.55,1,0,0,0
1980,2,0.33,0,0,0,0
1980,3,0.09,0,0,0,0
1980,4,0.2,0,0,0,0
1980,5,0.13,0,0,0,0
1980,6,0.37,0,0,0,0
1980,7,0.02,0,0,0,0
1980,8,-0.23,0,0,0,0
1980,9,-0.12,0,0,0,0
1980,10,-0.11,0,0,0,0
1980,11,0.1,0,0,0,0
1980,12,0.36,0,0,0,0
1981,1,-0.45,0,1,0,0
1981,2,-0.45,0,1,0,0
1981,3,-0.02,0,0,0,0
1981,4,-0.17,0,0,0,0
1981,5,-0.11,0,0,0,0
1981,6,-0.15,0,0,0,0
1981,7,-0.43,0,1,0,0
1981,8,-0.18,0,0,0,0
1981,9,-0.07,0,0,0,0
1981,10,-0.03,0,0,0,0
1981,11,-0.27,0,0,0,0
1981,12,0.07,0,0,0,0
1982,1,-0.04,0,0,0,0
1982,2,-0.13,0,0,0,0
1982,3,-0.02,0,0,0,0
1982,4,0.24,0,0,0,0
1982,5,0.65,1,0,1,0
1982,6,0.92,1,0,1,0
1982,7,0.64,1,0,1,0
1982,8,0.93,1,0,1,0
1982,9,1.39,1,0,1,0
1982,10,2,1,0,1,0
1982,11,2.07,1,0,1,0
1982,12,2.33,1,0,1,0
1983,1,2.43,1,0,1,0
1983,2,2.22,1,0,1,0
1983,3,1.69,1,0,1,0
1983,4,1.12,1,0,1,0
1983,5,1.12,1,0,1,0
1983,6,0.62,1,0,1,0
1983,7,-0.11,0,0,0,0
1983,8,-0.13,0,0,0,0
1983,9,-0.5,0,1,0,1
1983,10,-1.03,0,1,0,1
1983,11,-1.13,0,1,0,1
1983,12,-0.95,0,1,0,1
1984,1,-0.8,0,1,0,1
1984,2,-0.53,0,1,0,1
1984,3,-0.48,0,1,0,1
1984,4,-0.6,0,1,0,1
1984,5,-0.64,0,1,0,1
1984,6,-0.9,0,1,0,1
1984,7,-0.4,0,1,0,1
1984,8,-0.4,0,1,0,1
1984,9,-0.35,0,0,0,0
1984,10,-0.83,0,1,0,1
1984,11,-1.18,0,1,0,1
1984,12,-1.53,0,1,0,1
1985,1,-0.89,0,1,0,1
1985,2,-0.91,0,1,0,1
1985,3,-0.96,0,1,0,1
1985,4,-0.98,0,1,0,1
1985,5,-0.9,0,1,0,1
1985,6,-0.76,0,1,0,1
1985,7,-0.61,0,1,0,1
1985,8,-0.49,0,1,0,1
1985,9,-0.57,0,1,0,1
1985,10,-0.64,0,1,0,1
1985,11,-0.43,0,1,0,1
1985,12,-0.4,0,1,0,1
1986,1,-0.79,0,1,0,1
1986,2,-0.64,0,1,0,1
1986,3,-0.51,0,1,0,1
1986,4,-0.41,0,1,0,1
1986,5,-0.47,0,1,0,1
1986,6,-0.08,0,0,0,0
1986,7,0.16,0,0,0,0
1986,8,0.24,0,0,0,0
1986,9,0.59,1,0,1,0
1986,10,0.9,1,0,1,0
1986,11,1.04,1,0,1,0
1986,12,0.98,1,0,1,0
1987,1,1.19,1,0,1,0
1987,2,1.17,1,0,1,0
1987,3,1.24,1,0,1,0
1987,4,0.89,1,0,1,0
1987,5,0.91,1,0,1,0
1987,6,1.24,1,0,1,0
1987,7,1.34,1,0,1,0
1987,8,1.48,1,0,1,0
1987,9,1.53,1,0,1,0
1987,10,1.36,1,0,1,0
1987,11,1.29,1,0,1,0
1987,12,1.05,1,0,1,0
1988,1,0.69,1,0,1,0
1988,2,0.35,0,0,0,0
1988,3,0.29,0,0,0,0
1988,4,-0.49,0,1,0,1
1988,5,-1.05,0,1,0,1
1988,6,-1.46,0,1,0,1
1988,7,-1.54,0,1,0,1
1988,8,-1.44,0,1,0,1
1988,9,-1.33,0,1,0,1
1988,10,-2.09,0,1,0,1
1988,11,-2.18,0,1,0,1
1988,12,-1.98,0,1,0,1
1989,1,-1.95,0,1,0,1
1989,2,-1.37,0,1,0,1
1989,3,-1.33,0,1,0,1
1989,4,-1.11,0,1,0,1
1989,5,-0.8,0,1,0,1
1989,6,-0.64,0,1,0,1
1989,7,-0.47,0,1,0,1
1989,8,-0.58,0,1,0,1
1989,9,-0.38,0,0,0,0
1989,10,-0.4,0,1,0,0
1989,11,-0.3,0,0,0,0
1989,12,-0.13,0,0,0,0
1990,1,0.02,0,0,0,0
1990,2,0.36,0,0,0,0
1990,3,0.2,0,0,0,0
1990,4,0.26,0,0,0,0
1990,5,0.32,0,0,0,0
1990,6,0,0,0,0,0
1990,7,0.15,0,0,0,0
1990,8,0.17,0,0,0,0
1990,9,0.12,0,0,0,0
1990,10,0.13,0,0,0,0
1990,11,0.08,0,0,0,0
1990,12,0.32,0,0,0,0
1991,1,0.51,1,0,0,0
1991,2,0.32,0,0,0,0
1991,3,0.1,0,0,0,0
1991,4,0.21,0,0,0,0
1991,5,0.44,1,0,0,0
1991,6,0.65,1,0,0,0
1991,7,0.62,1,0,0,0
1991,8,0.43,1,0,0,0
1991,9,0.22,0,0,0,0
1991,10,0.91,1,0,1,0
1991,11,1.14,1,0,1,0
1991,12,1.62,1,0,1,0
1992,1,1.61,1,0,1,0
1992,2,1.62,1,0,1,0
1992,3,1.5,1,0,1,0
1992,4,1.41,1,0,1,0
1992,5,1.27,1,0,1,0
1992,6,0.53,1,0,1,0
1992,7,0.27,0,0,0,0
1992,8,-0.15,0,0,0,0
1992,9,-0.14,0,0,0,0
1992,10,-0.35,0,0,0,0
1992,11,-0.14,0,0,0,0
1992,12,0.04,0,0,0,0
1993,1,0.28,0,0,0,0
1993,2,0.42,1,0,0,0
1993,3,0.47,1,0,0,0
1993,4,0.92,1,0,0,0
1993,5,0.93,1,0,0,0
1993,6,0.64,1,0,0,0
1993,7,0.33,0,0,0,0
1993,8,0.16,0,0,0,0
1993,9,0.26,0,0,0,0
1993,10,0.36,0,0,0,0
1993,11,0.28,0,0,0,0
1993,12,0.19,0,0,0,0
1994,1,0.03,0,0,0,0
1994,2,-0.16,0,0,0,0
1994,3,-0.06,0,0,0,0
1994,4,0.03,0,0,0,0
1994,5,0.14,0,0,0,0
1994,6,0.27,0,0,0,0
1994,7,0.16,0,0,0,0
1994,8,0.52,1,0,1,0
1994,9,0.4,1,0,1,0
1994,10,0.9,1,0,1,0
1994,11,1.14,1,0,1,0
1994,12,1.21,1,0,1,0
1995,1,1.1,1,0,1,0
1995,2,0.87,1,0,1,0
1995,3,0.49,1,0,1,0
1995,4,0.27,0,0,0,0
1995,5,0.03,0,0,0,0
1995,6,0.08,0,0,0,0
1995,7,0.03,0,0,0,0
1995,8,-0.38,0,0,0,0
1995,9,-0.57,0,1,0,1
1995,10,-0.72,0,1,0,1
1995,11,-0.78,0,1,0,1
1995,12,-0.72,0,1,0,1
1996,1,-0.65,0,1,0,1
1996,2,-0.66,0,1,0,1
1996,3,-0.48,0,1,0,1
1996,4,-0.34,0,0,0,0
1996,5,-0.4,0,1,0,0
1996,6,-0.12,0,0,0,0
1996,7,-0.14,0,0,0,0
1996,8,-0.3,0,0,0,0
1996,9,-0.34,0,0,0,0
1996,10,-0.28,0,0,0,0
1996,11,-0.3,0,0,0,0
1996,12,-0.43,0,1,0,0
1997,1,-0.43,0,1,0,0
1997,2,-0.24,0,0,0,0
1997,3,-0.06,0,0,0,0
1997,4,0.34,0,0,0,0
1997,5,0.87,1,0,1,0
1997,6,1.15,1,0,1,0
1997,7,1.6,1,0,1,0
1997,8,1.94,1,0,1,0
1997,9,2.1,1,0,1,0
1997,10,2.29,1,0,1,0
1997,11,2.42,1,0,1,0
1997,12,2.3,1,0,1,0
1998,1,2.42,1,0,1,0
1998,2,2.08,1,0,1,0
1998,3,1.49,1,0,1,0
1998,4,0.9,1,0,1,0
1998,5,0.68,1,0,1,0
1998,6,-0.39,0,0,0,0
1998,7,-0.73,0,1,0,1
1998,8,-0.83,0,1,0,1
1998,9,-0.82,0,1,0,1
1998,10,-1.19,0,1,0,1
1998,11,-1.23,0,1,0,1
1998,12,-1.51,0,1,0,1
1999,1,-1.53,0,1,0,1
1999,2,-1.41,0,1,0,1
1999,3,-0.92,0,1,0,1
1999,4,-0.81,0,1,0,1
1999,5,-0.87,0,1,0,1
1999,6,-0.95,0,1,0,1
1999,7,-0.84,0,1,0,1
1999,8,-0.98,0,1,0,1
1999,9,-0.84,0,1,0,1
1999,10,-1.03,0,1,0,1
1999,11,-1.41,0,1,0,1
1999,12,-1.54,0,1,0,1
2000,1,-1.79,0,1,0,1
2000,2,-1.53,0,1,0,1
2000,3,-1.26,0,1,0,1
2000,4,-0.8,0,1,0,1
2000,5,-0.8,0,1,0,1
2000,6,-0.75,0,1,0,1
2000,7,-0.57,0,1,0,1
2000,8,-0.36,0,0,0,0
2000,9,-0.39,0,0,0,0
2000,10,-0.55,0,1,0,1
2000,11,-0.75,0,1,0,1
2000,12,-0.92,0,1,0,1
2001,1,-0.88,0,1,0,1
2001,2,-0.63,0,1,0,1
2001,3,-0.48,0,1,0,1
2001,4,-0.3,0,0,0,0
2001,5,-0.3,0,0,0,0
2001,6,-0.11,0,0,0,0
2001,7,0.01,0,0,0,0
2001,8,-0.07,0,0,0,0
2001,9,-0.28,0,0,0,0
2001,10,-0.26,0,0,0,0
2001,11,-0.28,0,0,0,0
2001,12,-0.46,0,1,0,0
2002,1,-0.14,0,0,0,0
2002,2,0,0,0,0,0
2002,3,0.11,0,0,0,0
2002,4,0.14,0,0,0,0
2002,5,0.21,0,0,0,0
2002,6,0.68,1,0,1,0
2002,7,0.57,1,0,1,0
2002,8,0.7,1,0,1,0
2002,9,0.82,1,0,1,0
2002,10,1.16,1,0,1,0
2002,11,1.41,1,0,1,0
2002,12,1.41,1,0,1,0
2003,1,0.98,1,0,1,0
2003,2,0.64,1,0,1,0
2003,3,0.48,1,0,1,0
2003,4,-0.03,0,0,0,0
2003,5,-0.52,0,1,0,0
2003,6,-0.19,0,0,0,0
2003,7,0.14,0,0,0,0
2003,8,0.05,0,0,0,0
2003,9,0.15,0,0,0,0
2003,10,0.46,1,0,0,0
2003,11,0.39,0,0,0,0
2003,12,0.32,0,0,0,0
2004,1,0.26,0,0,0,0
2004,2,0.17,0,0,0,0
2004,3,-0.1,0,0,0,0
2004,4,0.06,0,0,0,0
2004,5,0.1,0,0,0,0
2004,6,0.14,0,0,0,0
2004,7,0.41,1,0,1,0
2004,8,0.66,1,0,1,0
2004,9,0.67,1,0,1,0
2004,10,0.73,1,0,1,0
2004,11,0.62,1,0,1,0
2004,12,0.71,1,0,1,0
