Year,Month,resid_sales,resid_count,resid_np,comm_sales,comm_count,comm_np,CPI,County,Population,resid_pc,comm_pc,resid_rp,comm_rp
1991,3,3139757.0,,4.48,1540615.0,,4.43,135.0,State,5000371,0.6279048094631379,0.30810013896968846,3.3185185185185184,3.281481481481481
1991,4,2761391.0,,4.29,1481228.0,,4.23,135.2,State,5000371,0.5522372239979794,0.29622362020738063,3.173076923076924,3.1286982248520716
1991,5,2294431.0,,4.32,1345494.0,,4.06,135.6,State,5000371,0.45885215317023476,0.2690788343504912,3.1858407079646023,2.994100294985251
1991,6,1966521.0,,4.25,1381005.0,,4.04,136.0,State,5000371,0.3932750189935907,0.2761805074063505,3.125,2.9705882352941178
1991,7,1768793.0,,4.3,1359744.0,,4.08,136.2,State,5000371,0.353732353059403,0.2719286228961811,3.15712187958884,2.995594713656388
1991,8,1663311.0,,4.28,1419997.0,,4.06,136.6,State,5000371,0.3326375182961424,0.28397832880800244,3.133235724743778,2.9721815519765737
1991,9,1649194.0,,4.33,1447398.0,,4.09,137.2,State,5000371,0.32981432777687897,0.2894581222073322,3.1559766763848396,2.981049562682216
1991,10,1799603.0,,4.52,1476663.0,,4.14,137.4,State,5000371,0.35989389587292625,0.2953106879469543,3.2896652110625904,3.0131004366812224
1991,11,2329117.0,,4.49,1523231.0,,4.26,137.8,State,5000371,0.46578883846818564,0.30462359692910784,3.258345428156749,3.0914368650217705
1991,12,2948426.0,,4.45,1646241.0,,4.29,137.9,State,5000371,0.5896414486045135,0.3292237715961476,3.2269760696156635,3.110949963741842
1992,1,3431475.0,,4.5,1693390.0,,4.41,138.1,State,5116671,0.6706460118307391,0.330955420037755,3.258508327299059,3.1933381607530777
1992,2,3271129.0,,4.29,1681359.0,,4.35,138.6,State,5116671,0.6393080579149998,0.3286040865242264,3.0952380952380953,3.1385281385281383
1992,3,2895644.0,,4.41,1558278.0,,4.46,139.3,State,5116671,0.5659234295111021,0.30454918832967764,3.165829145728643,3.2017229002153624
1992,4,2453141.0,,4.36,1486339.0,,4.33,139.5,State,5116671,0.479440831743921,0.29048946082325794,3.1254480286738358,3.103942652329749
1992,5,2065059.0,,4.34,1417749.0,,4.17,139.7,State,5116671,0.40359425102767016,0.277084260449812,3.106657122405154,2.9849677881173946
1992,6,1778967.0,,4.27,1476218.0,,4.1,140.2,State,5116671,0.3476805524529523,0.2885114168958684,3.0456490727532097,2.9243937232524964
1992,7,1721111.0,,4.39,1500180.0,,4.1,140.5,State,5116671,0.3363732004656934,0.2931945399655362,3.1245551601423482,2.9181494661921707
1992,8,1706348.0,,4.26,1494061.0,,4.1,140.9,State,5116671,0.33348792603628413,0.2919986452128738,3.023420865862313,2.909865152590489
1992,9,1687774.0,,4.4,1530940.0,,4.13,141.3,State,5116671,0.3298578313907617,0.29920626125854094,3.113941967445152,2.922859164897381
1992,10,1823637.0,,4.61,1530419.0,,4.26,141.8,State,5116671,0.35641083821883407,0.29910443724054175,3.2510578279266573,3.004231311706629
1992,11,2329150.0,,4.7,1575272.0,,4.51,142.0,State,5116671,0.45520808353712794,0.3078704884484463,3.309859154929578,3.1760563380281686
1992,12,3272389.0,,4.79,1783084.0,,4.66,141.9,State,5116671,0.6395543117781073,0.34848517717867733,3.375616631430585,3.2840028188865396
1993,1,3973416.0,,4.66,1867568.0,,4.64,142.6,State,5240900,0.7581552786735103,0.35634490259306606,3.267882187938289,3.2538569424964936
1993,2,3713105.0,,4.61,1785174.0,,4.68,143.1,State,5240900,0.7084861378770821,0.3406235570226488,3.2215234102026558,3.270440251572327
1993,3,3304050.0,,4.55,1707482.0,,4.49,143.6,State,5240900,0.6304356122040108,0.3257993856017096,3.168523676880223,3.126740947075209
1993,4,2786804.0,,4.35,1589108.0,,4.29,144.0,State,5240900,0.5317414947814306,0.3032128069606365,3.020833333333333,2.979166666666667
1993,5,2329781.0,,4.34,1499738.0,,4.27,144.2,State,5240900,0.4445383426510714,0.2861603922990326,3.0097087378640777,2.9611650485436893
1993,6,1945446.0,,4.34,1556899.0,,4.23,144.4,State,5240900,0.3712045641015856,0.2970671067946345,3.0055401662049857,2.929362880886427
1993,7,1760686.0,,4.43,1490779.0,,4.28,144.4,State,5240900,0.3359510771050774,0.2844509530805778,3.06786703601108,2.96398891966759
1993,8,1715580.0,,4.43,1512256.0,,4.27,144.8,State,5240900,0.32734454005991337,0.2885489133545765,3.05939226519337,2.948895027624309
1993,9,1734989.0,,4.51,1596938.0,,4.33,145.1,State,5240900,0.3310479116182335,0.3047068251636169,3.1082012405237767,2.9841488628532047
1993,10,1956695.0,,4.53,1544293.0,,4.43,145.7,State,5240900,0.37335095117250855,0.2946617947299128,3.109128345916267,3.040494166094715
1993,11,2450499.0,,5.06,1557772.0,,4.94,145.8,State,5240900,0.4675721727184262,0.2972336812379553,3.4705075445816185,3.388203017832647
1993,12,3260983.0,,5.03,1822986.0,,4.98,145.8,State,5240900,0.6222181304737736,0.34783834837527905,3.4499314128943754,3.4156378600823043
1994,1,3511968.0,,5.02,1771850.0,,4.92,146.2,State,5334400,0.6583623275344931,0.33215544391121776,3.433652530779754,3.365253077975376
1994,2,3319228.0,,5.04,1725800.0,,4.98,146.7,State,5334400,0.6222308038392321,0.32352279544091184,3.4355828220858897,3.3946830265848673
1994,3,3219446.0,,4.95,1754776.0,,4.8,147.2,State,5334400,0.6035254199160168,0.32895470905818835,3.362771739130435,3.260869565217391
1994,4,2669356.0,,4.74,1597738.0,,4.52,147.4,State,5334400,0.5004041691661668,0.2995159718056389,3.215739484396201,3.066485753052917
1994,5,2173628.0,,4.75,1516059.0,,4.39,147.5,State,5334400,0.4074737552489502,0.2842042216556689,3.2203389830508473,2.9762711864406777
1994,6,1899352.0,,4.7,1549902.0,,4.37,148.0,State,5334400,0.3560572885422915,0.2905485152969406,3.175675675675676,2.9527027027027026
1994,7,1791606.0,,4.84,1534604.0,,4.44,148.4,State,5334400,0.3358589532093581,0.28768071385722854,3.261455525606469,2.9919137466307277
1994,8,1699006.0,,4.85,1643529.0,,4.42,149.0,State,5334400,0.318499925014997,0.3081000674865027,3.2550335570469797,2.966442953020134
1994,9,1677928.0,,4.92,1602126.0,,4.48,149.4,State,5334400,0.3145485902819436,0.3003385572885423,3.2931726907630523,2.9986613119143244
1994,10,1923187.0,,4.98,1584166.0,,4.71,149.5,State,5334400,0.3605254574085183,0.2969717306538692,3.3311036789297663,3.150501672240803
